oevk_id,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
01-01,54235,43333,43048,13180,26617
01-02,59616,44223,43952,12746,28049
01-03,54140,47094,46853,13477,30025
01-04,65170,56321,55984,15932,36244
01-05,60161,49332,49111,11885,33743
01-06,66589,54165,53869,13910,35923
01-07,65548,53453,53226,14673,34341
01-08,71592,58459,58187,17097,36181
01-09,64406,51101,50827,14772,31629
01-10,61842,53200,52961,15048,33686
01-11,64847,54920,54678,14836,35291
01-12,55928,45724,45508,12030,29777
01-13,59337,49488,49290,13901,30902
01-14,64266,55524,55284,16675,34338
01-15,76168,65225,64989,19855,39811
01-16,55760,45453,45248,13788,27689
02-01,68562,54820,54532,15725,34165
02-02,69082,53835,53304,16353,31846
02-03,68656,52897,52166,20467,24381
02-04,73779,55602,54877,22308,27434
03-01,67131,52624,52359,20792,27076
03-02,66440,53525,53287,18882,29924
03-03,63227,49658,49247,19803,25071
03-04,70064,53999,53686,22265,26816
03-05,65594,48471,47989,18452,24286
03-06,62134,47257,46766,18001,24195
04-01,66018,53604,53291,17224,31088
04-02,66392,50915,50502,19631,26131
04-03,65259,50206,49814,19544,26142
04-04,68148,50667,50277,18187,27941
05-01,60489,47872,47648,15000,28771
05-02,60384,46154,45815,14181,27944
05-03,67593,45323,44764,19829,20765
05-04,71308,51713,51091,18906,27557
05-05,70017,50785,50225,20918,24939
05-06,73582,56124,55568,21660,29344
05-07,74213,56634,56132,21249,29957
06-01,84317,68132,67904,16664,46114
06-02,70612,55896,55613,18413,31336
06-03,77761,61281,60981,21855,33300
06-04,76377,61169,60736,19899,35760
07-01,70861,59549,59279,20736,33501
07-02,64178,53448,53166,19671,28367
07-03,69238,58031,57740,21575,30998
07-04,66728,52816,52567,17174,31034
07-05,65460,49529,49176,22585,22161
08-01,57870,47667,47460,15570,28275
08-02,74095,61625,61370,22991,33409
08-03,66632,55473,55172,26240,24570
08-04,75117,63959,63624,24764,33069
08-05,78546,65179,64827,25474,34091
09-01,59669,50237,49954,15717,30505
09-02,54695,43347,43160,14478,25422
09-03,68932,50498,49878,21133,24499
09-04,67070,48691,47914,22250,21380
09-05,68301,51845,51444,21458,25760
09-06,68093,51913,51492,19557,26996
10-01,79000,63557,63106,22631,34983
10-02,74007,57917,57511,22258,30080
10-03,78352,60600,60164,23847,30511
11-01,74779,60066,59656,18934,35137
11-02,69530,53143,52626,21662,26530
11-03,72187,52738,52331,23947,24314
11-04,71419,53642,53114,19359,28610
12-01,77400,61813,61519,19882,36824
12-02,80817,64295,63928,22002,36091
12-03,81087,64521,64097,25029,33373
13-01,71832,54337,53868,21702,27194
13-02,77051,59708,59096,26014,26373
14-01,79671,67034,66749,21061,40106
14-02,77871,67466,67123,19539,41804
14-03,81963,70465,70019,23197,40049
14-04,76341,64969,64564,23139,35408
14-05,75965,65484,65215,18743,41346
14-06,76890,66348,66099,20556,40117
14-07,76365,61773,61394,23289,32691
14-08,70425,57780,57581,18666,33910
14-09,76078,61186,60871,22473,32706
14-10,74474,61357,61118,18151,37903
14-11,74824,62375,62053,22738,33838
14-12,73910,56239,55749,22613,28090
14-13,70090,54953,54616,21739,27417
14-14,73447,56303,55876,22122,28795
15-01,59107,47326,47079,16120,27009
15-02,57032,42012,41604,18031,20242
15-03,60980,47278,46932,20698,22538
15-04,63489,50568,50312,20458,25736
16-01,67980,55553,55298,16671,34756
16-02,68667,51127,50600,20048,26485
16-03,75646,56268,55757,23942,28097
16-04,70012,50365,49745,25840,20874
16-05,70903,51713,51084,25593,21893
16-06,70407,52409,51958,24759,23945
17-01,57093,44966,44654,17908,22758
17-02,56292,43424,43125,18641,19960
17-03,56773,44340,44043,19344,20766
18-01,67196,56932,56646,20953,31379
18-02,66913,55954,55683,24762,26420
18-03,64940,53541,53234,25830,22982
19-01,68896,57711,57382,18465,33445
19-02,73584,60533,60204,20742,34018
19-03,65381,52588,52375,20131,27847
19-04,66523,52782,52411,22843,24978
20-01,72857,60732,60360,23786,31667
20-02,72849,58564,58229,25288,28032
20-03,69407,55179,54854,20481,29869
