varmegye,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
BARANYA,280079,217154,214879,74853,117826
BORSOD-ABAÚJ-ZEMPLÉN,477586,354605,351243,131743,189277
BUDAPEST,999605,827015,823015,233805,524246
BÁCS-KISKUN,394590,305534,303334,118195,157368
BÉKÉS,265817,205392,203884,74586,111302
CSONGRÁD-CSANÁD,309067,246478,245234,76831,146510
FEJÉR,336465,273373,271928,101741,146061
GYŐR-MOSON-SOPRON,352260,293903,292453,115039,153414
HAJDÚ-BIHAR,386760,296531,293842,114593,154562
HEVES,231359,182074,180781,68736,95574
JÁSZ-NAGYKUN-SZOLNOK,287915,219589,217727,83902,114591
KOMÁROM-ESZTERGOM,239304,190629,189544,66913,106288
NÓGRÁD,148883,114045,112964,47716,53567
PEST,1058314,873732,869027,298026,494180
SOMOGY,240608,187184,185927,75307,95525
SZABOLCS-SZATMÁR-BEREG,423615,317435,314442,136853,156050
TOLNA,170158,132730,131822,55893,63484
VAS,199049,166427,165563,71545,80781
VESZPRÉM,274384,223614,222372,82181,120288
ZALA,215113,174475,173443,69555,89568
